ເພດ,ອາຍຸ,ລະດັບການສຶກສາ,ສະຖານທີ່ຮຽນ,ໃນເດືອນ 1 ເຈົ້າຂາດຮຽນປະມານຈັກມື້? ໝາຍເຫດ: ໃຫ້ພິມສະເພາະເປັນໂຕເລກ ເຊັ່ນ: 0,ເຈົ້າພໍໃຈກັບເນື້ອຫາຫຼັກສູດທີ່ເຈົ້າຮຽນໃນປັດຈຸບັນຫຼືບໍ່?,ເຈົ້າຄິດວ່າເນື້ອຫາໃນຫຼັກສູດຕົງກັບຄວາມສົນໃຈຂອງເຈົ້າຫຼຶບໍ່?,ເຈົ້າຄິດວ່າເນື້ອຫາໃນຫຼັກສູດການຮຽນຍາກເກີນໄປຫຼືບໍ່?,ລາຍໄດ້ຂອງຄອບຄົວປະມານເທົ່າໃດ?,ລາຍໄດ້ຫຼັກຂອງຄອບຄົວທ່ານມາຈາກອາຊີບໃດ?,ໃນຄອບຄົວເຈົ້າໃຊ້ຈ່າຍໃນເລື່ອງໃດຫຼາຍທີ່ສຸດ?,ຄອບຄົວຂອງທ່ານໃຊ້ຈ່າຍກັບການຮຽນຂອງທ່ານເທົ່າໃດຕໍ່ເດືອນ?,ເຈົ້າມີອ້າຍເອື້ຍນ້ອງຈັກຄົນ? ໝາຍເຫດ: ບໍ່ນັບຕົນນເອງ,ຖ້າຄອບຄົວຂອງເຈົ້າມີລາຍໄດ້ບໍ່ພຽງພໍຕໍ່ການລ້ຽງຊີບ,ຖ້າຜູ້ປົກຄອງຂອງເຈົ້າບັງຄັບໃຫ້ເຮັດວຽກແທນການຮຽນ,ຖ້າເຈົ້າມີໂອກາດໄດ້ເຮັດວຽກທີ່ໄດ້ເງິນເດີອນໂດຍບໍ່ຕ້ອງໄດ້ຮຽນ,ຖ້າຄອບຄົວຂອງເຈົ້າມີໜີ້ສິນຫຼາຍ,ຖ້າເຈົ້າຮູ້ສືກວ່າພາລະຄ່າໃຊ້ຈ່າຍໃນການສຶກສາເຮັດໃຫ້ຄອບຄົວມີຄວາມຄຽດ ຫຼື ຄວາມຍາກລຳບາກໃນການຈັດການການເງິນ,ຖ້າໂຮງຮຽນບໍ່ມີຄູສອນພຽງພໍ ຫຼື ການສອນບໍ່ມີຄຸນນະພາບ,ຖ້າໂຮງຮຽນເນັ້ນແຕ່ການສອບເສັງ ແລະ ບໍ່ມີການຮຽນຮູ້ແບບມ່ວນຊື່ນ,ຖ້າທາງໂຮງຮຽນໄດ້ມີນະໂຍບາຍການຫາງານໃຫ້ກັບນັກຮຽນ,ຖ້າຫຼັກສູດບໍ່ມີວິຊາທີ່ຊ່ວຍໃຫ້ກຽມຕົວສຳລັບວຽກໃນອະນາຄົດ,"ຖ້າໂຮງຮຽນບໍ່ມີສິ່ງອຳນວຍຄວາມສະດວກທີ່ຈຳເປັນເຊັ່ນ: ຫ້ອງທົດລອງ, ຫ້ອງສະໝຸດ ຫຼື ອຸປະກອນກິລາ…",ຖ້ານັກຮຽນຮູ້ສຶກວ່າການຮຽນໃນໂຮງຮຽນບໍ່ຊ່ວຍໃຫ້ມີວຽກເຮັດໃນອະນາຄົດ,ນັກຮຽນຮູ້ສຶກເບື່ອໜ່າຍກັບການຮຽນໃນໂຮງຮຽນ,ຖ້ານັກຮຽນຕ້ອງຮຽນວິຊາທີ່ຕົວເອງບໍ່ມັກເປັນຈຳນວນຫຼາຍ,ຖ້ານັກຮຽນບໍ່ມີເປົ້າໝາຍ ຫຼື ແຮງບັນດານໃຈໃນການຮຽນ,ຖ້ານັກຮຽນຮູ້ສຶກວ່າຫຼັກສູດບໍ່ເປີດໂອກາດໃຫ້ເລືອກວິຊາທີ່ຕົວເອງ,ຖ້ານັກຮຽນຕ້ອງຢ່າງໄປໂຮງຮຽນໄກກວ່າ 3 ກິໂລແມັດທຸກມື້,ຖ້າຖະໜົນທີ່ເດີນທາງໄປໂຮງຮຽນບໍ່ມີຄວາມປອດໄພເຊັ່ນ: ມີອຸບັດຕິເຫດ ຫຼື ອາດຊະຍາກຳ,ຖ້ານັກຮຽນເດີນທາງໄປໂຮງຮຽນມີຄ່າໃຊ້ຈ່າຍສູງຈົນເຮັດໃຫ້ຄອບຄົວລຳບາກທາງການເງິນ,ຖ້າການຂົນສົ່ງໄປໂຮງຮຽນບໍ່ສະດວກ ຫຼື ມີຄວາມສ່ຽງ,ຖ້ານັກຮຽນບໍ່ໄດ້ຮັບການສະໜັບສະໜູນຄ່າໃຊ້ຈ່າຍໃນການເດີນທາງຈາກຄອບຄົວຫຼືໂຮງຮຽນ,ຖ້ານັກຮຽນມີພະຍາດຊຳເຮື້ອທີ່ເຮັດໃຫ້ຕ້ອງມີການຂາດຮຽນຢູ່ເລື້ອຍໆ,ຖ້ານັກຮຽນມີບັນຫາດ້ານສຸຂະພາບຈິດເຊັ່ນ: ຄວາມຄຽດ ຫຼື ພະຍາດຊຶມເສົ້າ,ຖ້ານັກຮຽນບໍ່ມີສິດເຂົ້າເຖິງບໍລິການສາທາລະນະສຸກທີ່ດີເຊັ່ນ: ບໍ່ມີເງິນຈ່າຍຄ່າປິ່ນປົວ,ຖ້ານັກຮຽນມີພາລະຕ້ອງດູແລສຸຂະພາບຂອງສະມາຊິກໃນຄອບຄົວເຊັ່ນ: ພໍ່ແມ່ ຫຼື ພີ່ນ້ອງທີ່ປ່ວຍ,ຖ້ານັກຮຽນມີບັນຫາການນອນຫຼັບທີ່ສົ່ງຜົກກະທົບຕໍ່ການຮຽນຮູ້ ແລະ ຄວາມສາມາດໃນການສຸມໃສ່,ນັກຮຽນເຄີຍຄິດທີ່ຈະປະລະການຮຽນຍ້ອນເລື່ອງຄວາມຮັກ,ຖ້ານັກຮຽນບໍ່ມີໝູ່ ຫຼື ຖືກກີດກັນຈາກສັງຄົມໃນໂຮງຮຽນ,ຖ້ານັກຮຽນຂາດແຮງຈູງໃຈໃນການຮຽນ ເພະບໍ່ຮູ້ສຶກວ່າສິ່ງທີ່ຮຽນຈະເປັນປະໂຫຍດຕໍ່ຊີວິດ,ຖ້າວ່ານັກຮຽນຮູ້ສຶກວ່າຕົນເອງບໍ່ເກັ່ງເທົ່າໝູ່ ຈົນເຮັດໃຫ້ໝົດກຳລັງໃຈໃນການຮຽນ,ຖ້ານັກຮຽນຮູ້ສຶກວ່າຄູບໍ່ສະໜັບສະໜູນ ຫຼືບໍ່ເຂົ້າໃຈບັນຫາຂອງຕົນເອງ,"ຖ້າຄອບຄົວຂອງນັກຮຽນມີບັນຫາດ້ານຄອບຄົວ (ເຊັ່ນ:​ ການຢ່າຮ້າງ, ຄວາມຂັດແຍ່ງພາຍໃນ)",ຖ້າຜູ້ປົກຄອງຂອງນັກຮຽນມີທັດສະນະຄະຕິທີ່ບໍ່ສະໜັບສະໜູນການສຶກສາ,ຖ້າຄອບຄົວຂອງນັກຮຽນມີບັນຫາສຸຂະພາບ (ເຊັ່ນ: ເປັນພະຍາດຊ້ຳເຮື້ອພາຍໃນສະມາຊິກຄອບຄົວ),ຖ້າຄອບຄົວຂອງນັກຮຽນມີຄວາມບໍ່ສະຖຽນທາງດ້ານການເງິນ,ຖ້ານັກຮຽນບໍ່ໄດ້ຮັບການສະໜັບສະໜູນຈາກຄອບຄົວໃນເລື່ອງການສຶກສາ ແລະ ພັດທະນາອາຊີບໃນອະນາຄົດ,ຖ້າເຈົ້າເຈິສະຖານະການທີ່ກ່າງມາທັງໝົດນັ້ນ ເຈົ້າຈະຕັດສິນໃຈພິຈາລະນາ ປະລະການຮຽນຫຼືບໍ່?
ຊາຍ,ອາຍຸ 15 - 18 ປີ,ມັດທະຍົມຕອນປາຍ,ມສ ສິນໄຊ,5,ພໍໃຈຫຼາຍທີ່ສຸດ,ບໍ່ຕົງເລີຍ,ງ່າຍເກີນໄປ,1.000.001 - 2.000.000 ກີບ,ພະນັກງານລັດຖະກອນ,ຄ່າອາຫານ ແລະ ຄ່າຄອງຊີບ,100.000 - 500.000,5,4,2,2,2,4,4,5,4,4,2,3,3,3,3,4,3,3,3,2,2,3,4,4,4,4,4,3,4,3,3,4,3,3,3,4,ບໍ່ແມ່ນ
ຍິງ,ອາຍຸ 15 - 18 ປີ,ປະລິນຍາຕີ,ມສ ສິນໄຊ,2,ປານກາງ,ປານກາງ,ຍາກ,2.000.001 - 5.000.000 ກີບ,ພະນັກງານລັດຖະກອນ,ຄ່າອາຫານ ແລະ ຄ່າຄອງຊີບ,ຫຼາຍກວ່າ 2.000.000,3,2,3,3,3,3,1,5,3,5,3,1,4,4,5,5,5,5,5,5,5,3,1,3,3,1,2,2,2,2,2,2,2,2,2,2,ແມ່ນ
ຊາຍ,ອາຍຸ 19 - 22 ປີ,ປະລິນຍາຕີ,ມະຫາວິທະຍາໄລແຫ່ງຊາດ,0,ປານກາງ,ຕົງ,ປານກາງ,ຫຼາຍກວ່າ 5.000.000 ກີບ,ອາຊີບອິດສະຫຼະ,ຄ່າອາຫານ ແລະ ຄ່າຄອງຊີບ,ໜ້ອຍກວ່າ 100.000,2,2,1,3,5,3,3,3,1,3,4,3,3,2,5,5,4,3,4,3,2,4,5,3,5,4,1,3,2,3,3,4,3,4,4,3,ບໍ່ແມ່ນ
ຊາຍ,ອາຍຸ 19 - 22 ປີ,ປະລິນຍາຕີ,ມະຫາວິທະຍາໄລແຫ່ງຊາດ,1,ພໍໃຈຫຼາຍທີ່ສຸດ,ຕົງ,ຍາກ,ຫຼາຍກວ່າ 5.000.000 ກີບ,ເງິນເດືອນຈາກວຽກປະຈຳ,ຄ່າອາຫານ ແລະ ຄ່າຄອງຊີບ,500.000 - 1.000.000,1,4,3,4,4,4,4,4,1,4,3,4,2,2,4,3,3,4,4,4,4,4,4,4,4,4,1,3,4,1,2,2,2,4,4,3,ແມ່ນ
ຊາຍ,ອາຍຸ 19 - 22 ປີ,ປະລິນຍາຕີ,ມະຫາວິທະຍາໄລແຫ່ງຊາດ,1,ບໍ່ພໍໃຈເລີຍ,ປານກາງ,ງ່າຍເກີນໄປ,ຫຼາຍກວ່າ 5.000.000 ກີບ,ເງິນເດືອນຈາກວຽກປະຈຳ,ຄ່າອາຫານ ແລະ ຄ່າຄອງຊີບ,ຫຼາຍກວ່າ 2.000.000,2,5,1,5,1,1,1,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,5,1,ບໍ່ແມ່ນ
ຊາຍ,ອາຍຸ 19 - 22 ປີ,ປະລິນຍາຕີ,ມະຫາວິທະຍາໄລແຫ່ງຊາດ,0,ໜ້ອຍ,ປານກາງ,ປານກາງ,ຫຼາຍກວ່າ 5.000.000 ກີບ,ອາຊີບອິດສະຫຼະ,ຄ່າອາຫານ ແລະ ຄ່າຄອງຊີບ,500.000 - 1.000.000,5,5,4,4,4,3,3,4,4,3,3,3,3,3,4,3,4,3,4,3,3,5,4,3,4,3,3,3,3,4,3,3,4,3,3,2,ບໍ່ແມ່ນ
ຍິງ,ອາຍຸ 19 - 22 ປີ,ປະລິນຍາຕີ,ມະຫາວິທະຍາໄລແຫ່ງຊາດ,2,ປານກາງ,ປານກາງ,ປານກາງ,ຫຼາຍກວ່າ 5.000.000 ກີບ,ອາຊີບອິດສະຫຼະ,ຄ່າອາຫານ ແລະ ຄ່າຄອງຊີບ,500.000 - 1.000.000,1,3,3,4,5,4,3,4,2,4,3,3,3,3,3,3,3,5,4,4,5,4,4,3,4,5,2,3,3,3,3,3,3,4,5,4,ແມ່ນ
ຍິງ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,2,ໜ້ອຍ,ປານກາງ,ປານກາງ,ຫຼາຍກວ່າ 5.000.000 ກີບ,ອາຊີບອິດສະຫຼະ,ຄ່າການສຶກສາ,1.000.000 - 2.000.000,2,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,3,3,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,ແມ່ນ
ຊາຍ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,0,ປານກາງ,ປານກາງ,ປານກາງ,ຫຼາຍກວ່າ 5.000.000 ກີບ,ອາຊີບອິດສະຫຼະ,ຄ່າການສຶກສາ,1.000.000 - 2.000.000,4,3,4,5,4,3,3,4,4,4,4,3,4,3,4,3,3,4,3,3,4,3,4,4,4,4,3,3,4,3,3,3,4,3,4,4,ບໍ່ແມ່ນ
ຍິງ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,2,ບໍ່ພໍໃຈເລີຍ,ບໍ່ຕົງເລີຍ,ຍາກເກີນໄປ,ຫຼາຍກວ່າ 5.000.000 ກີບ,ອາຊີບອິດສະຫຼະ,ຄ່າອາຫານ ແລະ ຄ່າຄອງຊີບ,1.000.000 - 2.000.000,4,3,4,3,2,4,4,3,3,3,4,3,3,4,4,3,2,3,4,3,2,3,4,4,4,4,3,3,4,4,4,3,3,3,4,4,ແມ່ນ
ຍິງ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,5,ໜ້ອຍ,ຕົງທີ່ສຸດ,ປານກາງ,ຫຼາຍກວ່າ 5.000.000 ກີບ,ເງິນເດືອນຈາກວຽກປະຈຳ,ຄ່າການສຶກສາ,1.000.000 - 2.000.000,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,2,3,4,3,3,4,3,2,ບໍ່ແມ່ນ
ຍິງ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,3,ປານກາງ,ປານກາງ,ຍາກ,1.000.001 - 2.000.000 ກີບ,ອາຊີບອິດສະຫຼະ,ຄ່າການສຶກສາ,500.000 - 1.000.000,2,3,2,2,3,5,5,4,2,5,3,4,3,2,2,5,3,5,4,4,3,3,3,3,4,2,2,3,3,2,3,3,2,3,3,2,ແມ່ນ
ຍິງ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,2,ປານກາງ,ບໍ່ຕົງ,ຍາກ,ຫຼາຍກວ່າ 5.000.000 ກີບ,ເງິນເດືອນຈາກວຽກປະຈຳ,ຄ່າການສຶກສາ,ຫຼາຍກວ່າ 2.000.000,1,1,3,3,4,3,3,4,1,4,1,3,3,3,1,4,2,5,4,1,2,3,2,4,3,2,1,3,2,2,2,3,2,3,3,1,ບໍ່ແມ່ນ
ຊາຍ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,2,ປານກາງ,ປານກາງ,ຍາກ,ຫຼາຍກວ່າ 5.000.000 ກີບ,ເງິນເດືອນຈາກວຽກປະຈຳ,ຄ່າອາຫານ ແລະ ຄ່າຄອງຊີບ,ຫຼາຍກວ່າ 2.000.000,1,3,2,1,3,3,3,3,1,5,1,3,1,1,1,1,1,5,3,3,4,3,3,3,1,1,3,1,1,1,1,1,1,1,1,1,ບໍ່ແມ່ນ
ຍິງ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,0,ປານກາງ,ບໍ່ຕົງ,ຍາກ,ຫຼາຍກວ່າ 5.000.000 ກີບ,ເງິນເດືອນຈາກວຽກປະຈຳ,ຄ່າການສຶກສາ,ຫຼາຍກວ່າ 2.000.000,0,3,2,3,3,5,4,3,2,4,3,4,3,2,2,4,3,5,4,4,3,2,4,3,4,3,2,2,3,2,3,2,2,3,3,3,ບໍ່ແມ່ນ
ຍິງ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,1,ປານກາງ,ປານກາງ,ຍາກ,ຫຼາຍກວ່າ 5.000.000 ກີບ,ເງິນເດືອນຈາກວຽກປະຈຳ,ຄ່າອາຫານ ແລະ ຄ່າຄອງຊີບ,ຫຼາຍກວ່າ 2.000.000,1,2,2,2,1,2,3,3,3,2,3,2,1,2,2,3,2,2,2,2,2,2,1,2,1,2,1,3,2,2,3,2,2,2,1,1,ບໍ່ແມ່ນ
ຍິງ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,0,ປານກາງ,ບໍ່ຕົງ,ຍາກ,ຫຼາຍກວ່າ 5.000.000 ກີບ,ເງິນເດືອນຈາກວຽກປະຈຳ,ຄ່າອາຫານ ແລະ ຄ່າຄອງຊີບ,ຫຼາຍກວ່າ 2.000.000,1,3,2,3,3,3,3,3,3,4,3,3,2,2,3,3,3,4,3,3,3,4,4,3,4,3,3,3,3,3,3,2,2,3,3,2,ບໍ່ແມ່ນ
ຍິງ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,3,ປານກາງ,ບໍ່ຕົງ,ປານກາງ,ຫຼາຍກວ່າ 5.000.000 ກີບ,ເງິນເດືອນຈາກວຽກປະຈຳ,ຄ່າອາຫານ ແລະ ຄ່າຄອງຊີບ,ຫຼາຍກວ່າ 2.000.000,1,2,2,2,2,3,3,3,3,4,3,3,2,3,3,3,3,4,3,3,3,2,2,3,2,3,2,3,3,2,3,1,2,2,2,2,ບໍ່ແມ່ນ
ຍິງ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,0,ປານກາງ,ປານກາງ,ປານກາງ,2.000.001 - 5.000.000 ກີບ,ເງິນເດືອນຈາກວຽກປະຈຳ,ຄ່າອາຫານ ແລະ ຄ່າຄອງຊີບ,1.000.000 - 2.000.000,0,1,1,2,1,3,2,1,3,2,2,2,2,3,2,1,2,1,1,1,2,1,2,2,3,2,1,1,2,3,2,2,1,1,2,1,ບໍ່ແມ່ນ
ຍິງ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,2,ໜ້ອຍ,ປານກາງ,ປານກາງ,ຫຼາຍກວ່າ 5.000.000 ກີບ,ເງິນເດືອນຈາກວຽກປະຈຳ,ຄ່າການສຶກສາ,1.000.000 - 2.000.000,2,3,1,2,3,3,3,4,1,4,1,3,4,1,4,1,2,2,2,3,4,1,3,3,2,3,2,3,3,3,2,1,2,2,2,2,ບໍ່ແມ່ນ
ຊາຍ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,0,ໜ້ອຍ,ບໍ່ຕົງ,ປານກາງ,ຫຼາຍກວ່າ 5.000.000 ກີບ,ອາຊີບອິດສະຫຼະ,ຄ່າອາຫານ ແລະ ຄ່າຄອງຊີບ,ຫຼາຍກວ່າ 2.000.000,1,3,1,3,3,3,3,1,3,1,1,3,3,3,2,1,1,4,2,3,3,3,4,3,3,2,1,1,1,3,3,2,3,2,2,3,ບໍ່ແມ່ນ
ຊາຍ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,2,ພໍໃຈຫຼາຍ,ປານກາງ,ປານກາງ,ຫຼາຍກວ່າ 5.000.000 ກີບ,ອາຊີບອິດສະຫຼະ,ຄ່າການສຶກສາ,ຫຼາຍກວ່າ 2.000.000,3,3,2,4,3,3,3,3,2,4,4,4,3,3,4,3,4,3,4,3,3,2,3,2,3,2,1,3,3,2,4,2,3,3,2,3,ບໍ່ແມ່ນ
ຊາຍ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,4,ປານກາງ,ປານກາງ,ປານກາງ,ຫຼາຍກວ່າ 5.000.000 ກີບ,ເງິນເດືອນຈາກວຽກປະຈຳ,ຄ່າອາຫານ ແລະ ຄ່າຄອງຊີບ,500.000 - 1.000.000,2,2,1,3,1,2,3,3,5,4,2,1,2,3,4,5,3,5,4,4,4,3,3,4,4,3,2,5,2,1,3,1,2,4,4,3,ແມ່ນ
ຊາຍ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,0,ປານກາງ,ປານກາງ,ປານກາງ,ຫຼາຍກວ່າ 5.000.000 ກີບ,ໄດ້ຮັບເງິນບຳນານ,ຄ່າການສຶກສາ,100.000 - 500.000,1,5,2,5,3,5,3,5,4,5,5,2,5,3,4,2,1,3,5,4,1,5,4,3,5,3,1,3,1,1,3,3,1,5,5,3,ແມ່ນ
ຊາຍ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,0,ປານກາງ,ປານກາງ,ຍາກ,ຫຼາຍກວ່າ 5.000.000 ກີບ,ອາຊີບອິດສະຫຼະ,ຄ່າການສຶກສາ,1.000.000 - 2.000.000,2,4,2,5,4,3,3,2,3,4,4,4,3,3,2,3,3,5,4,3,3,4,4,3,4,2,1,4,5,1,3,1,2,4,4,3,ບໍ່ແມ່ນ
ຊາຍ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,2,ປານກາງ,ບໍ່ຕົງ,ຍາກເກີນໄປ,2.000.001 - 5.000.000 ກີບ,ເງິນເດືອນຈາກວຽກປະຈຳ,ຄ່າການສຶກສາ,1.000.000 - 2.000.000,2,4,3,5,4,3,3,2,3,5,4,5,3,2,2,3,5,5,3,2,3,3,3,4,5,1,1,3,2,2,2,3,3,1,2,4,ແມ່ນ
ຊາຍ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,3,ປານກາງ,ປານກາງ,ຍາກເກີນໄປ,ຫຼາຍກວ່າ 5.000.000 ກີບ,ເງິນເດືອນຈາກວຽກປະຈຳ,ຄ່າອາຫານ ແລະ ຄ່າຄອງຊີບ,500.000 - 1.000.000,1,2,4,4,2,2,5,4,1,5,1,5,2,4,2,5,2,2,5,4,4,5,2,4,2,4,1,4,4,2,3,2,4,4,2,4,ແມ່ນ
ຊາຍ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,2,ປານກາງ,ປານກາງ,ປານກາງ,ຫຼາຍກວ່າ 5.000.000 ກີບ,ເງິນເດືອນຈາກວຽກປະຈຳ,ຄ່າອາຫານ ແລະ ຄ່າຄອງຊີບ,1.000.000 - 2.000.000,2,2,4,4,2,3,3,4,3,4,2,3,3,3,4,3,3,3,4,3,4,4,3,4,2,2,2,3,3,2,4,2,4,3,2,1,ບໍ່ແມ່ນ
ຊາຍ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,0,ໜ້ອຍ,ປານກາງ,ປານກາງ,ຕໍ່າກວ່າ 500.000 ກີບ,ອາຊີບອິດສະຫຼະ,ຄ່າອາຫານ ແລະ ຄ່າຄອງຊີບ,500.000 - 1.000.000,2,5,5,4,3,5,4,3,4,2,5,5,5,5,3,3,1,4,3,3,4,3,3,3,3,3,4,4,3,5,3,4,3,5,5,5,ແມ່ນ
ຍິງ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,0,ປານກາງ,ປານກາງ,ປານກາງ,1.000.001 - 2.000.000 ກີບ,ເງິນເດືອນຈາກວຽກປະຈຳ,ຄ່າອາຫານ ແລະ ຄ່າຄອງຊີບ,500.000 - 1.000.000,2,3,1,1,2,1,3,3,1,3,1,3,1,1,1,2,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,2,3,1,2,3,ບໍ່ແມ່ນ
ຍິງ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,3,ປານກາງ,ບໍ່ຕົງ,ປານກາງ,1.000.001 - 2.000.000 ກີບ,ອາຊີບອິດສະຫຼະ,ຄ່າການສຶກສາ,1.000.000 - 2.000.000,1,4,2,3,4,5,5,4,4,5,3,4,3,3,4,5,2,5,5,4,5,4,5,4,5,2,1,1,4,2,4,1,2,5,5,2,ແມ່ນ
ຍິງ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,3,ປານກາງ,ປານກາງ,ປານກາງ,ຫຼາຍກວ່າ 5.000.000 ກີບ,ເງິນເດືອນຈາກວຽກປະຈຳ,ຄ່າການສຶກສາ,ຫຼາຍກວ່າ 2.000.000,2,4,2,3,4,5,4,4,4,4,3,4,3,3,3,4,3,4,4,4,5,4,5,5,5,2,1,1,4,3,4,3,2,3,5,4,ແມ່ນ
ຍິງ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,0,ພໍໃຈຫຼາຍ,ປານກາງ,ປານກາງ,2.000.001 - 5.000.000 ກີບ,ເງິນເດືອນຈາກວຽກປະຈຳ,ຄ່າອາຫານ ແລະ ຄ່າຄອງຊີບ,500.000 - 1.000.000,0,2,3,2,1,1,4,3,3,2,2,2,1,1,1,2,3,4,4,5,2,2,2,3,2,3,1,1,1,1,1,1,1,2,2,1,ບໍ່ແມ່ນ
ຍິງ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,2,ປານກາງ,ປານກາງ,ປານກາງ,2.000.001 - 5.000.000 ກີບ,ເງິນເດືອນຈາກວຽກປະຈຳ,ຄ່າອາຫານ ແລະ ຄ່າຄອງຊີບ,500.000 - 1.000.000,1,3,3,4,3,5,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,4,3,3,3,1,1,1,2,3,2,3,1,3,1,ບໍ່ແມ່ນ
ຍິງ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,5,ບໍ່ພໍໃຈເລີຍ,ບໍ່ຕົງ,ປານກາງ,ຫຼາຍກວ່າ 5.000.000 ກີບ,ເງິນເດືອນຈາກວຽກປະຈຳ,ຄ່າການສຶກສາ,ຫຼາຍກວ່າ 2.000.000,1,3,1,2,3,2,5,5,5,5,5,4,4,5,3,4,2,4,2,2,4,4,2,2,2,3,1,2,3,3,3,3,1,3,4,5,ແມ່ນ
ຍິງ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,12,ປານກາງ,ປານກາງ,ຍາກ,2.000.001 - 5.000.000 ກີບ,ເງິນເດືອນຈາກວຽກປະຈຳ,ຄ່າການສຶກສາ,ຫຼາຍກວ່າ 2.000.000,0,3,2,2,3,4,4,4,3,3,3,3,3,3,3,4,2,3,4,4,3,2,2,2,2,2,1,4,2,1,2,2,2,2,3,2,ບໍ່ແມ່ນ
ຍິງ,ຕໍ່າກວ່າ 15 ປີ,ມັດທະຍົມຕອນຕົ້ນ,ມສ ສິນໄຊ,2,ປານກາງ,ບໍ່ຕົງ,ປານກາງ,ຫຼາຍກວ່າ 5.000.000 ກີບ,ເງິນເດືອນຈາກວຽກປະຈຳ,ຄ່າການປິ່ນປົວພະຍາດ,ຫຼາຍກວ່າ 2.000.000,0,2,1,2,3,2,2,3,2,2,2,3,2,2,2,2,3,3,2,2,2,1,2,2,1,2,1,1,1,2,2,2,1,1,3,3,ບໍ່ແມ່ນ
